username,display_name,background,points,domain,social_type,social_link,bio,works
jennifererickson,Morgan Flores,Bioinformatics,1185,[],website,https://thomas.org/jennifererickson,Expert in Bioinformatics with 15 years of experience.,Published 41 papers and worked on 6 major projects in Bioinformatics.
jpowers,Scott Ford,Marketing,2578,[],website,https://harper.com/jpowers,Expert in Marketing with 13 years of experience.,Published 27 papers and worked on 3 major projects in Marketing.
perkinskimberly,Logan Anderson,Cognitive Psychology,8914,[],website,https://roberts.net/perkinskimberly,Expert in Cognitive Psychology with 13 years of experience.,Published 23 papers and worked on 6 major projects in Cognitive Psychology.
brittneyquinn,Taylor Alvarez,Virtual Reality,3151,[],website,https://cowan.com/brittneyquinn,Expert in Virtual Reality with 19 years of experience.,Published 7 papers and worked on 5 major projects in Virtual Reality.
timothy05,Jessica Wilkins,Journalism,2919,[],website,https://alvarez.com/timothy05,Expert in Journalism with 13 years of experience.,Published 35 papers and worked on 3 major projects in Journalism.
andrea44,Ashley Wright,Urban Planning,1831,[],website,https://olsen-sutton.net/andrea44,Expert in Urban Planning with 4 years of experience.,Published 42 papers and worked on 3 major projects in Urban Planning.
ryan70,Jeffrey Shah,Journalism,5213,[],website,https://williams-hall.info/ryan70,Expert in Journalism with 11 years of experience.,Published 50 papers and worked on 3 major projects in Journalism.
georgeamanda,Christopher Figueroa,Cybersecurity,7780,[],website,https://collins.com/georgeamanda,Expert in Cybersecurity with 5 years of experience.,Published 44 papers and worked on 7 major projects in Cybersecurity.
madisonwashington,Annette Wood,Geopolitics,8119,[],website,https://meyers-taylor.com/madisonwashington,Expert in Geopolitics with 11 years of experience.,Published 12 papers and worked on 1 major projects in Geopolitics.
jacksongeorge,Patrick Shea,Space Law,5566,[],website,https://walter.info/jacksongeorge,Expert in Space Law with 7 years of experience.,Published 35 papers and worked on 9 major projects in Space Law.
karengonzalez,Daniel Johnson,Biomimicry,8675,[],website,https://calhoun.com/karengonzalez,Expert in Biomimicry with 19 years of experience.,Published 31 papers and worked on 10 major projects in Biomimicry.
nathan77,Luis Odonnell,Cybersecurity,1191,[],website,https://cox.com/nathan77,Expert in Cybersecurity with 17 years of experience.,Published 47 papers and worked on 7 major projects in Cybersecurity.
joseph70,Daniel Webb,Astrobiology,7202,[],website,https://townsend-duncan.com/joseph70,Expert in Astrobiology with 9 years of experience.,Published 39 papers and worked on 2 major projects in Astrobiology.
urios,Michael Willis,3D Printing,8109,[],website,https://hardin.org/urios,Expert in 3D Printing with 4 years of experience.,Published 46 papers and worked on 4 major projects in 3D Printing.
hwhite,Jennifer Johnston,Nanotechnology,5344,[],website,https://herman.com/hwhite,Expert in Nanotechnology with 3 years of experience.,Published 43 papers and worked on 10 major projects in Nanotechnology.
potterjeffrey,Steven Webster,Neuroscience,5050,[],website,https://brewer.com/potterjeffrey,Expert in Neuroscience with 8 years of experience.,Published 12 papers and worked on 3 major projects in Neuroscience.
contrerasrachel,Zachary Jones,Artificial Intelligence,6768,[],website,https://lindsey.com/contrerasrachel,Expert in Artificial Intelligence with 3 years of experience.,Published 40 papers and worked on 10 major projects in Artificial Intelligence.
cristian25,Regina Koch,Organic Farming,5602,[],website,https://young-bennett.com/cristian25,Expert in Organic Farming with 14 years of experience.,Published 11 papers and worked on 5 major projects in Organic Farming.
sherrimitchell,Melissa Brown,Virtual Reality,21,[],website,https://martin.com/sherrimitchell,Expert in Virtual Reality with 9 years of experience.,Published 44 papers and worked on 6 major projects in Virtual Reality.
matthew90,Janice Cook,Urban Planning,1259,[],website,https://bryant-sanchez.com/matthew90,Expert in Urban Planning with 6 years of experience.,Published 10 papers and worked on 7 major projects in Urban Planning.
ysimmons,Lisa Quinn,Astrobiology,7366,[],website,https://white.net/ysimmons,Expert in Astrobiology with 19 years of experience.,Published 14 papers and worked on 3 major projects in Astrobiology.
victor41,David Quinn,Geopolitics,3363,[],website,https://banks.com/victor41,Expert in Geopolitics with 1 years of experience.,Published 45 papers and worked on 1 major projects in Geopolitics.
grant00,Carlos Garcia,Ethnobotany,3392,[],website,https://jacobs.com/grant00,Expert in Ethnobotany with 3 years of experience.,Published 1 papers and worked on 10 major projects in Ethnobotany.
fieldsandrew,Angela Conrad,Artificial Intelligence,5591,[],website,https://schmidt.com/fieldsandrew,Expert in Artificial Intelligence with 4 years of experience.,Published 2 papers and worked on 8 major projects in Artificial Intelligence.
matthew64,Kenneth Taylor,Quantum Computing,5196,[],website,https://church.com/matthew64,Expert in Quantum Computing with 10 years of experience.,Published 29 papers and worked on 7 major projects in Quantum Computing.
bryantmichael,Theresa Ali,Cognitive Psychology,7734,[],website,https://davis.net/bryantmichael,Expert in Cognitive Psychology with 1 years of experience.,Published 31 papers and worked on 7 major projects in Cognitive Psychology.
smithbrittany,Lisa Alexander,Synthetic Biology,5632,[],website,https://smith.org/smithbrittany,Expert in Synthetic Biology with 14 years of experience.,Published 2 papers and worked on 8 major projects in Synthetic Biology.
justinsmith,Jose Jefferson,Virtual Reality,8103,[],website,https://adams.com/justinsmith,Expert in Virtual Reality with 7 years of experience.,Published 4 papers and worked on 7 major projects in Virtual Reality.
jenningskristin,Jessica Griffin,Biomimicry,9316,[],website,https://young-bradford.com/jenningskristin,Expert in Biomimicry with 8 years of experience.,Published 12 papers and worked on 4 major projects in Biomimicry.
ashley82,Cheryl Sanchez,Human Resources,4114,[],website,https://woods.com/ashley82,Expert in Human Resources with 20 years of experience.,Published 17 papers and worked on 3 major projects in Human Resources.
gmoore,Nicole Hughes,Human Resources,6265,[],website,https://owens.com/gmoore,Expert in Human Resources with 5 years of experience.,Published 42 papers and worked on 4 major projects in Human Resources.
jermaine99,Amanda Mathis,Software Engineering,2795,[],website,https://moore.com/jermaine99,Expert in Software Engineering with 17 years of experience.,Published 12 papers and worked on 6 major projects in Software Engineering.
yrobinson,Martin Dyer,Glaciology,6300,[],website,https://tate-chavez.biz/yrobinson,Expert in Glaciology with 20 years of experience.,Published 30 papers and worked on 8 major projects in Glaciology.
zanderson,Jessica Hunt,Human Resources,9657,[],website,https://solis.net/zanderson,Expert in Human Resources with 1 years of experience.,Published 26 papers and worked on 10 major projects in Human Resources.
crossjeremy,Brent Lewis,Cryptocurrency,2935,[],website,https://lucero-adams.com/crossjeremy,Expert in Cryptocurrency with 10 years of experience.,Published 2 papers and worked on 10 major projects in Cryptocurrency.
michelletownsend,Christopher Whitaker,Robotics,9603,[],website,https://rodriguez-little.net/michelletownsend,Expert in Robotics with 4 years of experience.,Published 30 papers and worked on 10 major projects in Robotics.
barbara25,Shawn Robinson,Ethnobotany,6046,[],website,https://craig.biz/barbara25,Expert in Ethnobotany with 5 years of experience.,Published 33 papers and worked on 8 major projects in Ethnobotany.
reynoldserik,James Franco,Software Engineering,1267,[],website,https://francis-castro.com/reynoldserik,Expert in Software Engineering with 18 years of experience.,Published 18 papers and worked on 2 major projects in Software Engineering.
rfrank,Patrick Howard,Paleoclimatology,4727,[],website,https://singh-luna.com/rfrank,Expert in Paleoclimatology with 3 years of experience.,Published 21 papers and worked on 4 major projects in Paleoclimatology.
douglasstokes,Stacey Harrison,Urban Planning,8652,[],website,https://guerrero.org/douglasstokes,Expert in Urban Planning with 20 years of experience.,Published 47 papers and worked on 8 major projects in Urban Planning.
huffmanluis,Bruce Green,Data Science,1488,[],website,https://nunez.net/huffmanluis,Expert in Data Science with 14 years of experience.,Published 19 papers and worked on 6 major projects in Data Science.
monicanelson,Johnny Morrison,Nanotechnology,2180,[],website,https://reed.com/monicanelson,Expert in Nanotechnology with 6 years of experience.,Published 36 papers and worked on 5 major projects in Nanotechnology.
manuelgarcia,Bruce Montoya,Internet of Things,3599,[],website,https://bailey-williams.com/manuelgarcia,Expert in Internet of Things with 14 years of experience.,Published 14 papers and worked on 10 major projects in Internet of Things.
michaelandrews,Kyle Lester,Artificial Intelligence,4160,[],website,https://fuller.com/michaelandrews,Expert in Artificial Intelligence with 4 years of experience.,Published 14 papers and worked on 9 major projects in Artificial Intelligence.
